businessId,businessName,transactionsCount,customerloyaltiesCount,customervouchersCount,walletsCount
63074d7ac7f269001fcdd07d,New Business1661422970010,0,0,0,0
6310859cc7f269001ff3326f,New Business1662027164961,0,0,0,0
631a48aac7f269001f330053,New Business1662666922034,0,0,0,0
631eca221a44f6001f8268e4,New Business1662962210608,0,0,0,0
6321999eb92ed5001f3ce03a,New Business1663146398536,2,2,0,0
632826f3b92ed5001f703c87,New Business1663575795439,0,0,0,0
632855a2b92ed5001f7172f6,New Business1663587746433,0,0,0,0
63318758b92ed5001faeef05,New Business1664190296000,0,0,0,0
6344506816d2f7001fd9ef35,New Business1665421416447,0,0,0,0
638d027fd09525001df5e9b4,New Business1670185599874,0,0,0,0
6396ffd3d09525001d425b7b,New Business1670840275455,0,0,0,0
639f17e938086c001cfee51d,New Business1671370729560,0,0,0,0
63a2d0c038086c001c4fe3b7,New Business1671614656848,0,0,0,0
63c8f57a911a70001d861b36,New Business1674114426218,0,0,0,0
63cd468d911a70001d2e3a48,New Business1674397325009,0,0,0,0
63dfcad41eb9f8001dc114d6,New Business1675610836489,0,0,0,0
63f4a2e4a66940001d8f7f0d,New Business1676976868536,0,0,0,0
63f71206931652001f366911,New Business1677136390782,0,0,0,0
64048ffcdceb6e001e0f3b05,New Business1678020604611,0,0,0,0
64219c1693e634001d68b1a9,New Business1679924246559,0,0,0,0
6462208c111839001d500cce,New Business1684152460454,0,0,0,0
64883055fb1ca2001fbf4a76,New Business1686646869324,0,0,0,0
648ae1e5fb1ca2001f267e56,New Business1686823397942,0,0,0,0
64a51e4dc9f8ca001de34f44,New Business1688542797397,0,0,0,0
64bdd9cd53090f001dc9908f,New Business1690163661536,0,0,0,0
64cf5db31190b5001d9834c2,New Business1691311539112,0,0,0,0
64cf81d21190b5001d9ca98d,New Business1691320786139,0,0,0,0
64d0dccb9375c6001d50aca6,New Business1691409611442,0,0,0,0
64d9fdca0645fc001dbad041,New Business1692007882917,0,0,0,0
64dd11cc0645fc001d391d95,New Business1692209612676,0,0,0,0
64eb7310a25b14001d954b0f,New Business1693152016426,0,0,0,0
