"index","reachListId","duplicate"
148,"67489a8a462082001df483fb","No"
149,"6790dee56333a8001dbd1bd6","No"
150,"67a0e6b76a5c47001d25654f","No"
151,"673dfbccceb9bd001e0135c4","No"
152,"6720e7dea5541d001dcaef26","No"
153,"635eccbd72e59f001f755f63","No"
154,"6757182b1b5317001d1a7e91","No"
155,"677aa13374ec97001d2e5ecd","No"
156,"67868cf50231fa001ed95b44","No"
157,"678bd50c5827b1001dc40fd1","No"
158,"678fbe59361c1d001d53fe41","No"
159,"677969ba4e6d29001df60d0e","No"
160,"677172320c7db6001e22cc9d","No"
161,"673e243eceb9bd001e0b7ad0","No"
162,"67471ae7f73a70001d9a9385","No"
163,"67363bd1664b20001dd06d82","No"
164,"673b4eeecd422d001d1ee736","No"
165,"66ee92d0c4fe66001dc2d215","No"
166,"679b624a942332001d006775","No"
167,"6717e91fdd4b3c001e4f9875","No"
168,"678b8e225827b1001dac87db","No"
169,"67b5f12490432a001dddaa83","No"
170,"66fc25578697b2001d0c65fc","No"
171,"67388e2beb99e1001db3ba1e","No"
172,"674216c728d5f6001d6033bc","No"
173,"63cc0b9a911a70001dffc2ed","No"
174,"676d4643deacfe001d948f0c","No"
175,"67acb06794217c001df16b45","No"
176,"67924d1e66798f001d172fe4","No"
177,"67a0b2976a5c47001d1229f7","No"
178,"67a223f87d6f32001df63f88","No"
179,"67aa0261d8a75f001d24ca2c","No"
180,"6735fe3a664b20001dbcdba3","No"
181,"67192f9bdd4b3c001e902e7c","No"
182,"673634ed664b20001dce2333","No"
183,"677018b7a605ce001d533f76","No"
184,"67640e8d5d91a0001d93af46","No"
185,"67891d0d5827b1001d1f5e2e","No"
186,"671a27d2dd4b3c001ec305a5","No"
187,"6794eac63a0e2b001d656901","No"
188,"6727839b683747001d6a55fb","No"
189,"674224fd28d5f6001d643d6c","No"
190,"67aa12f3d8a75f001d2a708b","No"
191,"67b5c3e290432a001dcb77f7","No"
192,"67913100430290001d7bb235","No"
193,"67913100430290001d7bb235","Yes"
194,"6798e67d82cd39001d55837e","No"
195,"679a5a0bb1ec38001d882d21","No"
196,"67a232e77d6f32001dfc6e73","No"
197,"6741ed5928d5f6001d540ea6","No"
198,"673f4c0c9b2d0e001dab2be4","No"
199,"679a707eb1ec38001d9105b7","No"
200,"6726344ade0b15001d9a9b19","No"
201,"6735d777664b20001db2ed03","No"
202,"674ddefd0585f1001d351a21","No"
203,"67978a795de9c1001d2fc48e","No"
204,"67bb583ac5ef56001df476ac","No"
205,"671f725ca5541d001d7476a6","No"
206,"67298b5ccdca36001da7b8b2","No"
207,"6784fe3e83cf46001d1971eb","No"
208,"6797a45643ddfb001da907d2","No"
209,"679d0a970a6b19001dc49ceb","No"
210,"66f27e83cbfbeb001d93e87f","No"
211,"6751a5c8adaf50001dbbe5f4","No"
212,"67bc612ec5ef56001d37d7a1","No"
213,"67d34efd0905cb001d30d92c","No"
214,"673f2be89b2d0e001da16efc","No"
215,"679b9fb1cd74c4001d74b974","No"
